Time,Root,Expiry,Type,Strike,Qty,Price,Notional,Bid,Ask,Side,Volatility,Change,Delta,Open Interest,Exchange,Condition,Execution,Description,Hedge Price
09:30:00.0410000,TSLA,25-Oct-24,P,235,1,17.97,1797,17.85,18.10,Mid,61.2,-0.0076,-0.6866,2028,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.43
09:30:00.0420000,TSLA,18-Oct-24,P,220,2,3.10,620,3.05,3.25,Mid,39.4,-0.0449,-0.4287,17494,PHLX,AutoExecution,,,221.43
09:30:00.0430000,TSLA,18-Oct-24,C,220,11,4.60,5060,4.60,4.65,Bid,39.2,-0.0625,0.5727,25782,PHLX,AutoExecution,,,221.43
09:30:00.0430000,TSLA,20-Jun-25,C,250,1,29.95,2995,29.60,30.15,Mid,52.8,-0.0008,0.5003,9599,PHLX,AutoExecution,,,221.43
09:30:00.0460000,TSLA,01-Nov-24,P,210,3,6.15,1845,6.05,6.25,Mid,56.7,-0.0085,-0.3115,3037,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.43
09:30:00.0510000,TSLA,01-Nov-24,P,210,1,6.25,625,6.05,6.25,Ask,57.3,0.0015,-0.3128,3037,PHLX,AutoExecution,,,221.43
09:30:00.0560000,TSLA,18-Oct-24,C,220,1,4.65,465,4.60,4.65,Ask,39.7,-0.0499,0.5719,25782,ISE_GEMINI,AutoExecution,,,221.43
09:30:00.0600000,TSLA,21-Feb-25,P,220,1,24.80,2480,24.55,24.90,Mid,52.5,0.0008,-0.4174,4836,PHLX,AutoExecution,,,221.43
09:30:00.1570000,TSLA,18-Oct-24,P,185,757,0.04,3028,0.03,0.04,Ask,68.8,-0.0194,-0.0069,12935,PHLX,AutoExecution,,,221.41
09:30:00.1570000,TSLA,18-Oct-24,P,190,1,0.08,8,0.06,0.09,Mid,65.3,0.0299,-0.0135,15005,PHLX,AutoExecution,,,221.41
09:30:00.1580000,TSLA,18-Oct-24,P,207.5,1,0.46,46,0.42,0.48,Mid,45.5,0.0075,-0.0883,6034,PHLX,AutoExecution,,,221.41
09:30:00.1590000,TSLA,01-Nov-24,C,240,4,4.90,1960,4.85,5.05,Mid,56.8,-0.0019,0.2917,3568,PHLX,AutoExecution,,,221.41
09:30:00.1720000,TSLA,15-Nov-24,C,300,1,0.84,84,0.56,2.06,Mid,58.5,-0.0072,0.0533,14661,PHLX,AutoExecution,,,221.41
09:30:00.1730000,TSLA,18-Oct-24,C,305,1,0.02,2,0.00,0.02,Ask,105.2,1.1026,0.0027,11110,PHLX,AutoExecution,,,221.41
09:30:00.1730000,TSLA,25-Oct-24,C,280,100,0.28,2800,0.25,0.29,Mid,67.2,0.0005,0.028,6021,PHLX,AutoExecution,,,221.41
09:30:00.1740000,TSLA,18-Oct-24,P,185,27,0.04,108,0.03,0.04,Ask,68.8,-0.0194,-0.0069,12935,PHLX,AutoExecution,,,221.41
09:30:00.1910000,TSLA,25-Oct-24,C,242.5,3,2.93,879,1.73,2.99,Mid,61.1,-0.0103,0.2208,2664,PHLX,AutoExecution,,,221.41
09:30:00.1920000,TSLA,18-Oct-24,C,255,12,0.09,108,0.00,0.85,Mid,60.6,-0.0434,0.0171,12171,PHLX,AutoExecution,,,221.41
09:30:00.2010000,TSLA,15-Nov-24,C,270,2,2.49,498,0.00,0.00,Other,55.4,-0.0105,0.14,6427,PHLX,AutoExecution,,,221.41
09:30:00.2140000,TSLA,15-Aug-25,C,430,1,7.10,710,4.25,10.05,Mid,54.4,-0.0022,0.1515,27,PHLX,AutoExecution,,,221.41
09:30:00.2250000,TSLA,25-Oct-24,C,220,1,10.60,1060,10.50,10.75,Mid,61.9,-0.0088,0.55,8043,ISE,AutoExecution,,,221.41
09:30:00.2260000,TSLA,25-Oct-24,P,240,3,21.70,6510,21.55,21.85,Mid,60.6,-0.0081,-0.7546,3375,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.41
09:30:00.2260000,TSLA,18-Oct-24,P,245,1,23.75,2375,22.40,25.05,Mid,52.2,0.6264,-0.9647,5603,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.41
09:30:00.2280000,TSLA,01-Nov-24,P,200,2,3.35,670,3.20,3.40,Mid,57.4,-0.0038,-0.1948,3301,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.41
09:30:00.2420000,TSLA,15-Aug-25,C,185,1,63.94,6394,61.25,66.45,Mid,54.2,-0.008,0.7524,42,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.41
09:30:00.2540000,TSLA,18-Oct-24,C,220,5,4.64,2320,4.60,4.80,Mid,39.8,-0.0488,0.5708,25782,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.41
09:30:00.2580000,TSLA,18-Oct-24,C,227.5,1,1.69,169,1.69,1.78,Bid,41.0,-0.0424,0.2811,9522,PHLX,IntermarketSweep,,,221.41
09:30:00.2710000,TSLA,15-Nov-24,C,270,2,2.50,500,2.46,2.50,Ask,55.5,-0.0094,0.1403,6427,PHLX,AutoExecution,,,221.41
09:30:00.2830000,TSLA,08-Nov-24,C,265,1,2.21,221,2.21,2.38,Bid,56.7,-0.0188,0.1371,458,PHLX,IntermarketSweep,,,221.41
09:30:00.3610000,TSLA,20-Dec-24,C,250,1,9.95,995,9.85,10.05,Mid,50.8,-0.0028,0.3423,13265,ISE,AutoExecution,,,221.40
09:30:00.3660000,TSLA,18-Oct-24,C,272.5,1,0.03,3,0.02,0.04,Mid,74.8,0.0021,0.0053,2459,ISE,AutoExecution,,,221.40
09:30:00.3700000,TSLA,08-Nov-24,C,265,1,2.25,225,2.21,2.38,Mid,57.0,-0.0139,0.1385,458,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3720000,TSLA,18-Oct-24,P,207.5,5,0.47,235,0.44,0.48,Mid,45.8,0.0139,-0.0895,6034,ISE,AutoExecution,,,221.40
09:30:00.3780000,TSLA,01-Nov-24,C,270,1,1.00,100,1.00,1.50,Bid,58.5,-0.0185,0.0782,1913,ISE_GEMINI,IntermarketSweep,,,221.40
09:30:00.3820000,TSLA,18-Oct-24,C,247.5,1,0.15,15,0.14,0.18,Mid,54.1,-0.0532,0.03,7716,ISE,AutoExecution,,,221.40
09:30:00.3820000,TSLA,01-Nov-24,C,270,1,1.00,100,1.00,1.50,Bid,58.5,-0.0185,0.0782,1913,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3830000,TSLA,15-Nov-24,C,285,1,1.41,141,1.41,1.50,Bid,56.7,-0.0122,0.0854,5250,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3830000,TSLA,15-Nov-24,C,270,1,2.49,249,2.47,2.50,Mid,55.4,-0.0104,0.14,6427,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3850000,TSLA,15-Nov-24,C,290,1,1.18,118,1.17,1.95,Mid,57.6,-0.0135,0.0727,5385,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3880000,TSLA,18-Oct-24,C,275,4,0.03,12,0.01,0.04,Mid,77.5,-0.0001,0.005,19194,ISE,AutoExecution,,,221.40
09:30:00.3890000,TSLA,01-Nov-24,C,255,1,2.24,224,2.22,2.35,Mid,57.0,-0.0098,0.1564,1688,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.3910000,TSLA,22-Nov-24,C,275,1,2.61,261,2.15,3.20,Mid,54.1,-0.0115,0.1377,123,ISE,AutoExecution,,,221.40
09:30:00.3970000,TSLA,18-Oct-24,C,217.5,2,6.20,1240,6.10,6.35,Mid,40.5,-0.0297,0.6681,11189,ISE,AutoExecution,,,221.40
09:30:00.4250000,TSLA,18-Oct-24,P,185,215,0.04,860,0.03,0.04,Ask,68.8,-0.0195,-0.0069,12935,PHLX,AutoExecution,,,221.40
09:30:00.4620000,TSLA,18-Oct-24,C,227.5,70,1.74,12180,1.69,1.76,Mid,41.6,-0.0288,0.2841,9522,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.4630000,TSLA,15-Nov-24,C,270,4,2.50,1000,2.47,2.50,Ask,55.5,-0.0093,0.1403,6427,MERCURY,AutoExecution,,,221.40
09:30:00.5010000,TSLA,15-Nov-24,P,150,2,0.40,80,0.36,0.41,Mid,68.9,0.0109,-0.0217,7319,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.5070000,TSLA,18-Oct-24,C,222.5,2,3.45,690,3.40,3.45,Ask,40.5,-0.0371,0.4683,10097,PEARL,AutoExecution,,,221.40
09:30:00.5070000,TSLA,18-Oct-24,C,222.5,8,3.45,2760,3.40,3.45,Ask,40.5,-0.0371,0.4683,10097,PEARL,AutoExecution,,,221.40
09:30:00.5130000,TSLA,25-Oct-24,C,255,3,1.30,390,1.24,1.31,Mid,62.8,0.01,0.1129,3325,PHLX,AutoExecution,,,221.40
09:30:00.5160000,TSLA,15-Nov-24,C,270,2,2.50,500,2.47,2.50,Ask,55.5,-0.0093,0.1403,6427,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.5160000,TSLA,15-Nov-24,C,270,3,2.50,750,2.47,2.50,Ask,55.5,-0.0093,0.1403,6427,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.5160000,TSLA,15-Nov-24,C,270,1,2.50,250,2.47,2.50,Ask,55.5,-0.0093,0.1403,6427,PHLX,AutoExecution,,,221.40
09:30:00.5340000,TSLA,01-Nov-24,C,270,1,1.00,100,1.00,1.50,Bid,58.5,-0.0185,0.0782,1913,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.40
09:30:00.5430000,TSLA,08-Nov-24,C,230,2,9.92,1984,9.80,10.00,Mid,56.0,-0.0091,0.4372,1140,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5460000,TSLA,20-Dec-24,C,225,1,18.68,1868,18.55,18.80,Mid,50.9,0.0009,0.5306,47315,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5460000,TSLA,21-Feb-25,C,260,1,15.51,1551,15.35,15.65,Mid,52.7,-0.0003,0.3785,2467,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5460000,TSLA,17-Jan-25,P,170,1,4.20,420,4.15,4.35,Mid,53.7,-0.0038,-0.1244,38026,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5470000,TSLA,20-Dec-24,P,180,10,4.25,4250,4.15,4.40,Mid,53.2,0.0027,-0.1457,12736,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5470000,TSLA,20-Dec-24,P,175,1,3.45,345,3.35,3.55,Mid,53.9,-0.0051,-0.1219,8412,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5470000,TSLA,20-Dec-24,P,180,1,4.25,425,4.15,4.35,Mid,53.2,0.0027,-0.1457,12736,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5470000,TSLA,21-Feb-25,P,180,10,8.98,8980,8.85,9.10,Mid,54.0,0.001,-0.1964,2183,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5470000,TSLA,21-Feb-25,P,210,10,19.82,19820,19.65,20.00,Mid,52.1,-0.0008,-0.3582,2454,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5480000,TSLA,20-Dec-24,C,225,2,18.70,3740,18.55,18.80,Mid,50.9,0.002,0.5306,47315,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5580000,TSLA,25-Oct-24,P,242.5,1,23.70,2370,23.55,23.85,Mid,60.7,-0.015,-0.7847,544,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5680000,TSLA,18-Oct-24,C,275,3,0.02,6,0.02,0.03,Bid,73.8,-0.0472,0.0036,19194,PEARL,AutoExecution,,,221.40
09:30:00.5690000,TSLA,25-Oct-24,C,225,1,8.35,835,8.20,8.35,Ask,62.1,0.0041,0.4694,3396,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5690000,TSLA,25-Oct-24,C,220,1,10.70,1070,10.55,10.70,Ask,62.6,0.0018,0.5498,8043,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5730000,TSLA,25-Oct-24,P,210,1,4.70,470,4.70,4.80,Bid,61.1,-0.0096,-0.2909,7237,MIAX,AutoExecution,,,221.40
09:30:00.5770000,TSLA,18-Oct-24,C,252.5,5,0.12,60,0.09,0.11,Above,59.3,-0.0317,0.0224,7592,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5780000,TSLA,18-Oct-24,P,220,5,3.17,1585,3.10,3.20,Mid,40.0,-0.0303,-0.4308,17494,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5790000,TSLA,18-Oct-24,C,247.5,4,0.16,64,0.14,0.17,Mid,54.6,-0.0458,0.0313,7716,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5790000,TSLA,18-Oct-24,C,270,1,0.04,4,0.02,0.04,Ask,73.2,-0.0294,0.0065,25351,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5790000,TSLA,18-Oct-24,C,255,8,0.08,64,0.08,0.10,Bid,60.0,-0.0539,0.0158,12171,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5790000,TSLA,18-Oct-24,C,270,8,0.04,32,0.02,0.04,Ask,73.2,-0.0294,0.0065,25351,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5810000,TSLA,01-Nov-24,C,235,3,6.29,1887,6.25,6.40,Mid,56.2,-0.0102,0.3508,1913,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5820000,TSLA,18-Oct-24,C,227.5,10,1.69,1690,1.69,1.75,Bid,41.0,-0.042,0.281,9522,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5820000,TSLA,15-Nov-24,C,230,1,11.23,1123,11.15,11.35,Mid,54.1,-0.0081,0.4501,7870,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5820000,TSLA,18-Oct-24,P,205,4,0.32,128,0.29,0.33,Mid,47.2,0.0049,-0.0625,13263,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5830000,TSLA,25-Oct-24,C,235,2,4.73,946,4.65,4.75,Mid,61.5,-0.0086,0.3167,5240,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5840000,TSLA,18-Oct-24,C,252.5,4,0.10,40,0.09,0.11,Mid,57.7,-0.0577,0.0195,7592,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5880000,TSLA,17-Jan-25,C,220,20,24.87,49740,24.75,25.00,Mid,51.6,-0.0015,0.5794,13563,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5950000,TSLA,18-Oct-24,C,222.5,2,3.32,664,3.40,3.45,Below,39.1,-0.0693,0.4666,10097,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5950000,TSLA,18-Oct-24,C,217.5,1,6.29,629,6.10,6.30,Mid,41.5,-0.0045,0.6646,11189,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5950000,TSLA,18-Oct-24,C,217.5,1,6.30,630,6.10,6.30,Ask,41.7,-0.0017,0.6642,11189,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5950000,TSLA,18-Oct-24,P,205,2,0.34,68,0.29,0.33,Above,47.8,0.0177,-0.065,13263,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.5950000,TSLA,18-Oct-24,P,220,1,3.02,302,3.10,3.20,Below,38.4,-0.069,-0.4286,17494,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6000000,TSLA,25-Oct-24,C,270,1,0.47,47,0.46,0.50,Mid,63.9,-0.0118,0.0463,18755,ISE,AutoExecution,,,221.40
09:30:00.6010000,TSLA,21-Mar-25,C,400,10,2.43,2430,2.38,2.56,Mid,55.0,-0.0027,0.0768,12845,ISE,AutoExecution,,,221.40
09:30:00.6010000,TSLA,29-Nov-24,C,300,10,1.32,1320,0.00,20.00,Mid,54.7,-0.0227,0.0733,334,ISE,AutoExecution,,,221.40
09:30:00.6020000,TSLA,25-Oct-24,C,250,1,1.78,178,1.73,1.80,Mid,61.3,-0.0084,0.1478,7864,ISE,AutoExecution,,,221.40
09:30:00.6020000,TSLA,15-Nov-24,C,270,1,2.50,250,2.47,2.57,Mid,55.5,-0.0093,0.1403,6427,ISE,AutoExecution,,,221.40
09:30:00.6030000,TSLA,01-Nov-24,C,240,2,4.97,994,4.85,5.05,Mid,57.2,0.0048,0.2933,3568,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,01-Nov-24,C,255,2,2.27,454,2.22,2.32,Mid,57.2,-0.0054,0.1576,1688,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,25-Oct-24,C,270,2,0.48,96,0.46,0.50,Mid,64.1,-0.0078,0.047,18755,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,08-Nov-24,C,245,3,5.39,1617,5.30,5.50,Mid,56.2,-0.0014,0.281,961,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,15-Nov-24,C,265,3,3.05,915,3.00,3.10,Mid,55.1,-0.0029,0.1658,10011,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,15-Nov-24,C,270,1,2.48,248,2.47,2.50,Mid,55.4,-0.0115,0.1397,6427,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6030000,TSLA,01-Nov-24,C,270,1,1.04,104,1.00,1.07,Mid,59.0,-0.0103,0.0803,1913,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6080000,TSLA,18-Oct-24,P,220,1,3.16,316,3.10,3.20,Mid,39.9,-0.0329,-0.4306,17494,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6120000,TSLA,18-Oct-24,C,130,1,91.51,9151,88.50,94.50,Mid,194.5,0.5446,0.9962,146,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6120000,TSLA,25-Oct-24,C,130,1,91.65,9165,88.65,94.40,Mid,121.8,0.6296,0.9953,5,ISE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6310000,TSLA,25-Oct-24,C,225,1,8.35,835,8.20,8.35,Ask,62.1,0.0041,0.4694,3396,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.40
09:30:00.6480000,TSLA,01-Nov-24,P,145,1,0.12,12,0.12,0.13,Bid,82.3,0.0202,-0.0081,87,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.6590000,TSLA,15-Nov-24,P,75,5,0.02,10,0.02,0.05,Bid,121.7,-0.0162,-0.0007,1289,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.6590000,TSLA,18-Oct-24,C,275,1,0.02,2,0.02,0.03,Bid,73.8,-0.0472,0.0036,19194,PEARL,AutoExecution,,,221.40
09:30:00.6590000,TSLA,18-Oct-24,C,275,1,0.03,3,0.02,0.03,Ask,77.5,-0.0001,0.005,19194,PEARL,AutoExecution,,,221.40
09:30:00.6610000,TSLA,18-Oct-24,P,207.5,2,0.44,88,0.44,0.47,Bid,44.9,-0.006,-0.086,6034,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.6610000,TSLA,18-Oct-24,P,220,2,3.10,620,3.10,3.20,Bid,39.3,-0.0481,-0.4298,17494,PEARL,AutoExecution,,,221.40
09:30:00.6610000,TSLA,18-Oct-24,P,207.5,2,0.44,88,0.44,0.47,Bid,44.9,-0.006,-0.086,6034,ISE_GEMINI,AutoExecution,,,221.40
09:30:00.6610000,TSLA,18-Oct-24,C,247.5,1,0.14,14,0.14,0.17,Bid,53.4,-0.066,0.0282,7716,NONE,AutoExecution,,,221.40
09:30:00.6620000,TSLA,17-Jan-25,C,200,3,36.00,10800,35.65,36.00,Ask,52.1,-0.0044,0.7132,31514,PHLX,AutoExecution,,,221.44
09:30:00.6630000,TSLA,15-Nov-24,C,270,1,2.50,250,2.47,2.50,Ask,55.4,-0.0104,0.1404,6427,ISE,AutoExecution,,,221.47
09:30:00.6690000,TSLA,18-Oct-24,C,222.5,1,3.45,345,3.35,3.45,Ask,40.1,-0.046,0.4712,10097,ISE,AutoExecution,,,221.48
09:30:00.6750000,TSLA,18-Oct-24,P,205,3,0.33,99,0.29,0.33,Ask,47.7,0.015,-0.0636,13263,NONE,MultiLeg,Complex Order Book,Multi Leg Auto-Electronic Trade,221.48
09:30:00.7480000,TSLA,25-Oct-24,P,190,5,0.90,450,0.85,0.92,Mid,63.3,-0.0047,-0.0759,4997,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7490000,TSLA,01-Nov-24,P,165,1,0.28,28,0.28,0.33,Bid,67.8,0.001,-0.021,589,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7490000,TSLA,25-Oct-24,P,190,5,0.90,450,0.85,0.92,Mid,63.3,-0.0047,-0.0759,4997,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7590000,TSLA,18-Oct-24,P,220,1,3.14,314,3.10,3.20,Mid,40.1,-0.0299,-0.4277,17494,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7590000,TSLA,18-Oct-24,P,220,1,3.14,314,3.10,3.20,Mid,40.1,-0.0299,-0.4277,17494,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7590000,TSLA,18-Oct-24,C,227.5,1,1.70,170,1.69,1.77,Mid,40.9,-0.0459,0.2829,9522,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7600000,TSLA,20-Jun-25,C,300,2,17.20,3440,17.00,17.45,Mid,52.5,0,0.3359,12383,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7600000,TSLA,01-Nov-24,P,185,1,1.16,116,1.11,1.21,Mid,60.3,-0.0014,-0.0794,1048,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7600000,TSLA,01-Nov-24,P,185,1,1.16,116,1.11,1.21,Mid,60.3,-0.0014,-0.0794,1048,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7600000,TSLA,01-Nov-24,P,220,1,10.40,1040,10.25,10.50,Mid,56.8,-0.0038,-0.4483,2938,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7610000,TSLA,01-Nov-24,P,210,5,6.16,3080,6.05,6.25,Mid,56.8,-0.0062,-0.3113,3037,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7610000,TSLA,01-Nov-24,P,210,5,6.16,3080,6.05,6.25,Mid,56.8,-0.0062,-0.3113,3037,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7610000,TSLA,08-Nov-24,P,165,10,0.63,630,0.55,0.63,Ask,66.1,0.0143,-0.0373,364,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7620000,TSLA,18-Oct-24,C,220,1,4.65,465,4.60,4.80,Mid,39.4,-0.0564,0.5742,25782,MIAX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
09:30:00.7630000,TSLA,18-Oct-24,C,227.5,1,1.69,169,1.69,1.77,Bid,40.7,-0.0485,0.2822,9522,PHLX,Regular,Price Improvement Auction,Single Leg Auction Non ISO,221.48
